39,12
63,75
59,64
75,21
54,74
22,37
87,55
29,34
39,33
41,64
15,88
22,34
93,66
52,48
12,70
39,44
95,32
9,43
65,20
97,85
45,72
3,27
20,99
85,22
3,61
51,67
14,54
31,45
28,71
0,10
72,41
70,60
15,77
76,74
6,9
18,68
95,7
10,67
14,51
49,96
54,72
77,10
40,54
70,34
93,22
73,64
75,86
54,7
81,44
78,74
77,90
17,40
45,56
84,69
16,37
71,27
5,0
89,43
57,67
96,77
56,25
33,9
63,32
75,58
24,67
59,49
56,54
94,62
73,91
30,20
37,9
26,67
2,21
61,97
20,42
74,38
24,43
63,43
58,13
21,8
2,17
23,31
3,94
92,92
12,61
97,93
78,38
25,13
1,16
8,70
66,22
3,71
46,1
31,6
50,19
10,38
67,93
73,92
16,28
82,90
